"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"동대문구","2017-09-25 09:00","0.005","0.5","0.010","0.035","35","22",127.0400189,37.5743682
"동대문구","2017-09-25 10:00","0.005","0.5","0.016","0.028","51","26",127.0400189,37.5743682
"동대문구","2017-09-25 03:00","0.004","0.5","0.011","0.027","50","24",127.0400189,37.5743682
"동대문구","2017-09-24 12:00","0.004","0.5","0.028","0.020","67","37",127.0400189,37.5743682
"동대문구","2017-09-25 06:00","0.004","0.4","0.010","0.024","44","22",127.0400189,37.5743682
"동대문구","2017-09-24 21:00","0.004","0.5","0.039","0.012","68","56",127.0400189,37.5743682
"동대문구","2017-09-25 02:00","0.004","0.5","0.007","0.039","48","25",127.0400189,37.5743682
"동대문구","2017-09-25 04:00","0.004","0.4","0.016","0.019","45","24",127.0400189,37.5743682
"동대문구","2017-09-24 16:00","0.004","0.5","0.048","0.017","75","46",127.0400189,37.5743682
"동대문구","2017-09-24 24:00","0.004","0.5","0.018","0.029","44","24",127.0400189,37.5743682
"동대문구","2017-09-25 01:00","0.004","0.5","0.010","0.038","46","29",127.0400189,37.5743682
"동대문구","2017-09-24 23:00","0.005","0.4","0.026","0.019","41","23",127.0400189,37.5743682
"동대문구","2017-09-24 22:00","0.004","0.4","0.031","0.014","51","32",127.0400189,37.5743682
"동작구","2017-09-25 05:00","0.003","0.5","0.014","0.026","80","36",126.9392525,37.512402
"동작구","2017-09-24 11:00","0.003","0.5","0.032","0.022","63","39",126.9392525,37.512402
"동작구","2017-09-25 04:00","0.003","0.6","0.015","0.028","66","33",126.9392525,37.512402
"동작구","2017-09-25 07:00","0.003","0.5","0.007","0.039","52","30",126.9392525,37.512402
"동작구","2017-09-24 13:00","0.004","0.5","0.067","0.013","70","46",126.9392525,37.512402
"동작구","2017-09-24 19:00","0.003","0.5","0.061","0.021","70","51",126.9392525,37.512402
"동작구","2017-09-24 15:00","0.004","0.5","0.081","0.009","76","51",126.9392525,37.512402
"동작구","2017-09-24 21:00","0.003","0.6","0.055","0.017","85","57",126.9392525,37.512402
"동작구","2017-09-25 03:00","0.003","0.6","0.017","0.031","53","31",126.9392525,37.512402
